Terrarium,insect,ter_no,Name_x,customer identifier,cust_no,Name_y,tpe,Contact number,First Purchase period,key,description,food portions per day
lilac,j,1459,lilac,308,308,Angela Schoenborn,p,079-660-5912,201904,j,Junebug,5.0
acidy,g,1433,acidy,50,50,Alphonse Krajewski,f,082-837-1499,202006,g,Grasshopper,50.0
nonelevation,j,1011,nonelevation,98,98,Erik Ruffner,g,083-749-8977,202010,j,Junebug,5.0
nenni,t,3238,nenni,36,36,Donny Cloud,z,087-731-8141,202108,t,Tsetse fly,5.0
sinecurist,g,2067,sinecurist,321,321,Kathleen Leff,g,085-916-9461,202108,g,Grasshopper,50.0
errant,t,3082,errant,293,293,Roseline Hehn,p,086-406-3049,201911,t,Tsetse fly,5.0
unbinned,c,2979,unbinned,107,107,Dustin Haynie,k,074-190-5821,201911,c,catapillar,1.0
khufu,j,3089,khufu,7,7,Neva Leffler,y,086-594-5216,202106,j,Junebug,5.0
guttenberg,f,2105,guttenberg,187,187,Adolfo Webb,i,085-443-4832,202101,f,flea,3.0
pensionership,z,1083,pensionership,135,135,Kenia Parrett,p,074-997-3189,202103,z,Zorapteran,5.0
jerkinhead,s,2003,jerkinhead,120,120,Eddy Wire,k,083-815-6813,202003,s,Stick insect,9.0
counterweight,v,2303,counterweight,176,176,Sandra Griego,k,077-259-7055,202112,v,Velvet ant,2.0
underparticipation,u,2751,underparticipation,213,213,Diann Trigg,l,085-396-2469,201907,u,Underwing,6.0
decontaminating,b,1805,decontaminating,135,135,Kenia Parrett,p,074-997-3189,202103,b,bee,1.0
dearie,w,3017,dearie,163,163,Lia Strother,l,077-831-2156,201901,w,Wasp,15.0
index,s,3158,index,81,81,Leanora Wickliffe,e,071-619-6458,202109,s,Stick insect,9.0
bursa,g,1615,bursa,86,86,Romeo Rotolo,d,087-260-2627,202105,g,Grasshopper,50.0
grady,q,1406,grady,304,304,Eunice Entwistle,a,074-321-9812,201905,q,Queen bee,11.0
repeatability,w,1828,repeatability,275,275,Raguel Burdge,b,079-392-3974,202110,w,Wasp,15.0
machetes,r,2462,machetes,239,239,Gertrudis Evan,l,084-243-4527,202004,r,Rhinoceros beetle,35.0
unholiness,j,2850,unholiness,269,269,Juliette Lyford,z,080-755-2008,201908,j,Junebug,5.0
sepaline,q,2162,sepaline,135,135,Kenia Parrett,p,074-997-3189,202103,q,Queen bee,11.0
longs,g,1505,longs,161,161,Allen Murillo,o,085-414-1537,202104,g,Grasshopper,50.0
inverness,w,2337,inverness,39,39,Wilburn Kimsey,t,079-343-4425,201906,w,Wasp,15.0
elite,j,1467,elite,285,285,Priscila Kilroy,c,074-992-6162,202002,j,Junebug,5.0
howie,z,1512,howie,160,160,Sima Coomer,r,085-159-9315,202104,z,Zorapteran,5.0
elite,z,1467,elite,285,285,Priscila Kilroy,c,074-992-6162,202002,z,Zorapteran,5.0
unexplaining,o,2804,unexplaining,199,199,Leone Matt,u,081-105-7423,201905,o,Orange Sulfur Butterfly,13.0
unsophomoric,k,2778,unsophomoric,204,204,Gregg Blanchette,c,074-884-1593,202100,k,Katydid,3.0
phototroph,u,2356,phototroph,41,41,Carmelo Wallner,x,078-519-5851,202006,u,Underwing,6.0
discipline,f,2082,discipline,246,246,Lilla Mccombs,k,074-240-6787,201906,f,flea,3.0
commanderies,v,1265,commanderies,37,37,Lidia Peete,j,080-216-1052,202006,v,Velvet ant,2.0
beatitude,j,1767,beatitude,303,303,Kathlene Bavaro,h,084-892-8235,201911,j,Junebug,5.0
principe,v,2257,principe,189,189,Henry Mcnew,o,082-332-5238,201903,v,Velvet ant,2.0
drammach,g,2930,drammach,133,133,Melida Gass,a,075-575-7976,202112,g,Grasshopper,50.0
unconceptual,q,2709,unconceptual,161,161,Allen Murillo,o,085-414-1537,202104,q,Queen bee,11.0
snazziness,j,2424,snazziness,44,44,Demarcus Shiroma,s,075-293-4079,201910,j,Junebug,5.0
pocahontas,z,1923,pocahontas,204,204,Gregg Blanchette,c,074-884-1593,202100,z,Zorapteran,5.0
unmortising,e,2831,unmortising,288,288,Ralph Purinton,l,073-145-6222,201906,e,Elephant hawk moth,2.0
needy,v,1463,needy,181,181,Jacalyn Goers,g,082-547-5696,202002,v,Velvet ant,2.0
ellis,r,1585,ellis,19,19,Jaymie Helsley,z,075-522-2685,202007,r,Rhinoceros beetle,35.0
hepatectomizing,v,1254,hepatectomizing,160,160,Sima Coomer,r,085-159-9315,202104,v,Velvet ant,2.0
octillionth,o,2360,octillionth,80,80,Rickie Osman,l,078-133-9611,202103,o,Orange Sulfur Butterfly,13.0
commanderies,a,1265,commanderies,37,37,Lidia Peete,j,080-216-1052,202006,a,ant,1.0
utrecht,a,3105,utrecht,59,59,Irish Jensen,h,081-970-5000,202003,a,ant,1.0
hepatectomizing,u,1254,hepatectomizing,160,160,Sima Coomer,r,085-159-9315,202104,u,Underwing,6.0
denizenship,j,1915,denizenship,249,249,Raquel Lafrance,r,086-694-9753,202008,j,Junebug,5.0
avenaceous,h,1881,avenaceous,303,303,Kathlene Bavaro,h,084-892-8235,201911,h,humbug,0.0
manipulative,o,1866,manipulative,228,228,Jose Swofford,p,080-771-7187,202104,o,Orange Sulfur Butterfly,13.0
psalm,w,1619,psalm,7,7,Neva Leffler,y,086-594-5216,202106,w,Wasp,15.0
wriggly,m,3219,wriggly,78,78,Joslyn Haus,v,082-228-2104,202010,m,Maggot,5.5
endomorphism,u,1110,endomorphism,80,80,Rickie Osman,l,078-133-9611,202103,u,Underwing,6.0
kingtehchen,u,2432,kingtehchen,153,153,Bebe Mathieu,p,074-585-5515,202100,u,Underwing,6.0
extroversive,w,2041,extroversive,161,161,Allen Murillo,o,085-414-1537,202104,w,Wasp,15.0
tunny,j,3108,tunny,200,200,Lyle Nix,i,076-117-1648,201906,j,Junebug,5.0
principe,a,2257,principe,189,189,Henry Mcnew,o,082-332-5238,201903,a,ant,1.0
intervariation,o,1174,intervariation,99,99,Cora Rester,y,079-523-8303,202107,o,Orange Sulfur Butterfly,13.0
personalise,h,1212,personalise,11,11,Chana Six,m,086-823-5508,201902,h,humbug,0.0
putto,c,1383,putto,49,49,Digna Garlitz,b,072-484-1875,202009,c,catapillar,1.0
cense,b,1588,cense,86,86,Romeo Rotolo,d,087-260-2627,202105,b,bee,1.0
gangbang,q,3165,gangbang,311,311,Jeanie Wentzell,d,079-537-7965,201906,q,Queen bee,11.0
gargoyle,w,3192,gargoyle,101,101,Sharyn Troy,d,074-190-5827,202103,w,Wasp,15.0
unstateable,s,1216,unstateable,59,59,Irish Jensen,h,081-970-5000,202003,s,Stick insect,9.0
mauritius,p,2147,mauritius,295,295,Shantelle Rosner,a,084-547-2476,202000,p,Praying mantis,8.0
brugge,d,2888,brugge,163,163,Lia Strother,l,077-831-2156,201901,d,Unknown insect type (imputed),5.0
unretaining,j,1281,unretaining,143,143,Elisha Sandidge,b,081-781-5555,202011,j,Junebug,5.0
rodi,u,3029,rodi,200,200,Lyle Nix,i,076-117-1648,201906,u,Underwing,6.0
cappelletti,k,1113,cappelletti,91,91,Lavina Vos,z,077-981-2916,202110,k,Katydid,3.0
rubicund,r,2120,rubicund,296,296,Hilma Grammer,f,081-805-6812,202107,r,Rhinoceros beetle,35.0
potamic,z,1961,potamic,213,213,Diann Trigg,l,085-396-2469,201907,z,Zorapteran,5.0
enthralling,u,1824,enthralling,59,59,Irish Jensen,h,081-970-5000,202003,u,Underwing,6.0
fruitlessness,k,1277,fruitlessness,277,277,Natisha Blythe,y,083-470-1500,197001,k,Katydid,3.0
fiendishness,y,1911,fiendishness,103,103,Zelda Bridgett,r,085-887-8677,201906,y,Yellow jacket,16.0
nepal,t,3222,nepal,9,9,Phillis Wainright,w,071-988-2023,201904,t,Tsetse fly,5.0
trifurcated,k,1125,trifurcated,318,318,Gonzalo Ahlstrom,c,078-738-2607,202108,k,Katydid,3.0
unsticking,o,2626,unsticking,287,287,Eric Kreamer,j,078-476-1791,202003,o,Orange Sulfur Butterfly,13.0
phlogopite,u,2018,phlogopite,215,215,Foster Zawislak,x,081-769-2511,202011,u,Underwing,6.0
saare,o,3116,saare,127,127,Lorenzo Cribb,y,080-423-2157,202103,o,Orange Sulfur Butterfly,13.0
extensionless,w,1908,extensionless,15,15,Tiffaney Kratky,l,076-373-2923,202002,w,Wasp,15.0
controller,l,1862,controller,72,72,Genna Moree,x,074-376-7745,202003,l,Locust,99.0
fruitlessness,e,1277,fruitlessness,277,277,Natisha Blythe,y,083-470-1500,197001,e,Elephant hawk moth,2.0
overheard,o,2474,overheard,112,112,Raul Pung,k,086-528-1314,202108,o,Orange Sulfur Butterfly,13.0
ambrosian,l,2215,ambrosian,78,78,Joslyn Haus,v,082-228-2104,202010,l,Locust,99.0
tunny,n,3108,tunny,200,200,Lyle Nix,i,076-117-1648,201906,n,Nit,4.0
unalterable,j,1976,unalterable,104,104,Velva Griego,u,077-898-2107,201900,j,Junebug,5.0
unniched,n,2497,unniched,5,5,Reyes Davies,w,077-283-5044,202106,n,Nit,4.0
reinstator,h,2006,reinstator,316,316,Young Bueno,f,084-600-8108,197001,h,humbug,0.0
untrapped,u,3013,untrapped,285,285,Priscila Kilroy,c,074-992-6162,202002,u,Underwing,6.0
hylotropic,m,1904,hylotropic,177,177,Cristie Argento,n,086-909-8832,202102,m,Maggot,5.5
namen,k,1611,namen,153,153,Bebe Mathieu,p,074-585-5515,202100,k,Katydid,3.0
unmortising,n,2831,unmortising,288,288,Ralph Purinton,l,073-145-6222,201906,n,Nit,4.0
griming,y,3021,griming,133,133,Melida Gass,a,075-575-7976,202112,y,Yellow jacket,16.0
revolutionising,a,1041,revolutionising,205,205,Lakesha Mcquarrie,o,071-279-6012,202104,a,ant,1.0
unholiness,h,2850,unholiness,269,269,Juliette Lyford,z,080-755-2008,201908,h,humbug,0.0
unpacifistic,k,1129,unpacifistic,291,291,Emmie Raiford,l,087-562-1847,202110,k,Katydid,3.0
salts,g,1543,salts,109,109,Nieves Schorn,w,080-803-1422,201904,g,Grasshopper,50.0
unavailable,t,2858,unavailable,174,174,Gayle Renshaw,s,078-480-2123,202007,t,Tsetse fly,5.0
unharmonising,j,2516,unharmonising,301,301,Micah Sabado,l,075-365-9474,202102,j,Junebug,5.0
subungual,q,2333,subungual,231,231,Cristy Nelson,y,074-176-2289,202103,q,Queen bee,11.0
atlas,h,1471,atlas,7,7,Neva Leffler,y,086-594-5216,202106,h,humbug,0.0
ungovernability,w,2679,ungovernability,270,270,Marco Rickard,g,074-755-1936,202111,w,Wasp,15.0
unindicated,k,2744,unindicated,221,221,Thi Mennenga,y,083-798-1764,202012,k,Katydid,3.0
encincturing,d,1235,encincturing,5,5,Reyes Davies,w,077-283-5044,202106,d,Unknown insect type (imputed),5.0
richet,s,3181,richet,166,166,Rosendo Parten,t,082-117-2337,202009,s,Stick insect,9.0
embrittle,q,2272,embrittle,46,46,Lorie Winer,m,077-556-5195,202105,q,Queen bee,11.0
unfeeble,c,2132,unfeeble,313,313,Marna Linder,c,078-398-5953,202109,c,catapillar,1.0
hylotropic,h,1904,hylotropic,177,177,Cristie Argento,n,086-909-8832,202102,h,humbug,0.0
balsamaceous,p,1030,balsamaceous,24,24,Shirl Plotner,c,087-628-6789,201910,p,Praying mantis,8.0
unindicated,v,2744,unindicated,221,221,Thi Mennenga,y,083-798-1764,202012,v,Velvet ant,2.0
pomona,x,1809,pomona,221,221,Thi Mennenga,y,083-798-1764,202012,x,Xigua,4.5
unsticking,t,2626,unsticking,287,287,Eric Kreamer,j,078-476-1791,202003,t,Tsetse fly,5.0
undeterrable,v,2763,undeterrable,88,88,Edgar Benfield,j,077-940-5354,202002,v,Velvet ant,2.0
unrationed,f,2797,unrationed,316,316,Young Bueno,f,084-600-8108,197001,f,flea,3.0
nonperpetration,i,1155,nonperpetration,96,96,Adell Baldree,x,078-723-8425,201908,i,insect,3.0
alem,j,2386,alem,316,316,Young Bueno,f,084-600-8108,197001,j,Junebug,5.0
rubicund,i,2120,rubicund,296,296,Hilma Grammer,f,081-805-6812,202107,i,insect,3.0
enthralling,t,1824,enthralling,59,59,Irish Jensen,h,081-970-5000,202003,t,Tsetse fly,5.0
lanthanum,v,2060,lanthanum,208,208,Jerrica Shears,j,078-322-2008,202105,v,Velvet ant,2.0
precited,u,2284,precited,241,241,Pauletta Lazo,n,082-454-6754,202103,u,Underwing,6.0
unparagraphed,h,988,unparagraphed,212,212,Rubye Marchal,c,078-532-7977,202008,h,humbug,0.0
replevisable,b,1349,replevisable,109,109,Nieves Schorn,w,080-803-1422,201904,b,bee,1.0
repent,u,3188,repent,145,145,Drucilla Villegas,k,073-134-8894,202106,u,Underwing,6.0
upington,v,2652,upington,161,161,Allen Murillo,o,085-414-1537,202104,v,Velvet ant,2.0
sepia,r,1695,sepia,269,269,Juliette Lyford,z,080-755-2008,201908,r,Rhinoceros beetle,35.0
unpacifistic,x,1129,unpacifistic,291,291,Emmie Raiford,l,087-562-1847,202110,x,Xigua,4.5
magnipotence,v,1148,magnipotence,81,81,Leanora Wickliffe,e,071-619-6458,202109,v,Velvet ant,2.0
unsticking,i,2626,unsticking,287,287,Eric Kreamer,j,078-476-1791,202003,i,insect,3.0
unhonored,s,2542,unhonored,125,125,Brice Bonhomme,d,083-379-4932,201905,s,Stick insect,9.0
unretaining,i,1281,unretaining,143,143,Elisha Sandidge,b,081-781-5555,202011,i,insect,3.0
flexo,n,1353,flexo,116,116,Clemmie Dunphy,c,079-683-5944,202101,n,Nit,4.0
unsmutched,b,2759,unsmutched,259,259,Hana Clabaugh,d,074-262-7203,239012,b,bee,1.0
acquisitive,l,1045,acquisitive,156,156,Aurore Fisch,e,079-564-4073,202008,l,Locust,99.0
unspecific,n,2793,unspecific,42,42,Veola Olvera,k,079-134-4502,202005,n,Nit,4.0
iyyar,b,1501,iyyar,21,21,Raven Croskey,u,074-809-9073,202005,b,bee,1.0
unhonored,i,2542,unhonored,125,125,Brice Bonhomme,d,083-379-4932,201905,i,insect,3.0
unpestilent,p,2869,unpestilent,147,147,Alonzo Hiler,x,085-901-4954,202100,p,Praying mantis,8.0
grizzle,z,3101,grizzle,287,287,Eric Kreamer,j,078-476-1791,202003,z,Zorapteran,5.0
unalterable,h,1976,unalterable,104,104,Velva Griego,u,077-898-2107,201900,h,humbug,0.0
unmortising,c,2831,unmortising,288,288,Ralph Purinton,l,073-145-6222,201906,c,catapillar,1.0
unplacatory,h,1284,unplacatory,311,311,Jeanie Wentzell,d,079-537-7965,201906,h,humbug,0.0
ternopol,e,1786,ternopol,189,189,Henry Mcnew,o,082-332-5238,201903,e,Elephant hawk moth,2.0
vermonter,s,2124,vermonter,99,99,Cora Rester,y,079-523-8303,202107,s,Stick insect,9.0
pupilless,z,2364,pupilless,140,140,Naida Priddy,f,074-186-2384,202011,z,Zorapteran,5.0
unrepresented,h,2641,unrepresented,303,303,Kathlene Bavaro,h,084-892-8235,201911,h,humbug,0.0
preobstruct,b,2037,preobstruct,147,147,Alonzo Hiler,x,085-901-4954,202100,b,bee,1.0
salts,i,1543,salts,109,109,Nieves Schorn,w,080-803-1422,201904,i,insect,3.0
quixote,a,2983,quixote,31,31,Alverta Magar,z,075-936-4800,202001,a,ant,1.0
floriculturist,e,1322,floriculturist,21,21,Raven Croskey,u,074-809-9073,202005,e,Elephant hawk moth,2.0
spuming,e,3070,spuming,34,34,Marica Creed,a,073-422-6326,202109,e,Elephant hawk moth,2.0
pomona,d,1809,pomona,221,221,Thi Mennenga,y,083-798-1764,202012,d,Unknown insect type (imputed),5.0
unconvoyed,o,2835,unconvoyed,106,106,Maureen Spinner,v,080-911-1748,201900,o,Orange Sulfur Butterfly,13.0
unconceptual,o,2709,unconceptual,161,161,Allen Murillo,o,085-414-1537,202104,o,Orange Sulfur Butterfly,13.0
underparticipation,b,2751,underparticipation,213,213,Diann Trigg,l,085-396-2469,201907,b,bee,1.0
unsticking,g,2626,unsticking,287,287,Eric Kreamer,j,078-476-1791,202003,g,Grasshopper,50.0
psalm,h,1619,psalm,7,7,Neva Leffler,y,086-594-5216,202106,h,humbug,0.0
drammach,p,2930,drammach,133,133,Melida Gass,a,075-575-7976,202112,p,Praying mantis,8.0
guitarfishes,p,1018,guitarfishes,129,129,Janae Laiche,t,075-651-7964,202002,p,Praying mantis,8.0
court,b,1520,court,168,168,Marin Davisson,b,075-193-5830,201904,b,bee,1.0
vary,s,3215,vary,277,277,Natisha Blythe,y,083-470-1500,197001,s,Stick insect,9.0
lizard,p,3120,lizard,267,267,Treena Capobianco,u,080-343-5302,202001,p,Praying mantis,8.0
radios,a,1968,radios,179,179,Trinity Roda,o,079-428-4550,201900,a,ant,1.0
cappelletti,h,1113,cappelletti,91,91,Lavina Vos,z,077-981-2916,202110,h,humbug,0.0
lidias,g,2918,lidias,59,59,Irish Jensen,h,081-970-5000,202003,g,Grasshopper,50.0
generatrix,m,1771,generatrix,132,132,Lesia Moroz,w,071-461-6577,202102,m,Maggot,5.5
contraposition,m,1106,contraposition,7,7,Neva Leffler,y,086-594-5216,202106,m,Maggot,5.5
nowise,x,3006,nowise,81,81,Leanora Wickliffe,e,071-619-6458,202109,x,Xigua,4.5
woald,h,1387,woald,13,13,Katie Vandermark,v,084-552-5244,201911,h,humbug,0.0
repent,s,3188,repent,145,145,Drucilla Villegas,k,073-134-8894,202106,s,Stick insect,9.0
lectern,x,2956,lectern,41,41,Carmelo Wallner,x,078-519-5851,202006,x,Xigua,4.5
ungag,m,1607,ungag,145,145,Drucilla Villegas,k,073-134-8894,202106,m,Maggot,5.5
automorphic,a,1319,automorphic,67,67,Li Birdwell,g,077-249-1815,202005,a,ant,1.0
sternwheel,x,2987,sternwheel,288,288,Ralph Purinton,l,073-145-6222,201906,x,Xigua,4.5
brugge,a,2888,brugge,163,163,Lia Strother,l,077-831-2156,201901,a,ant,1.0
gonorrhoeal,v,1167,gonorrhoeal,303,303,Kathlene Bavaro,h,084-892-8235,201911,v,Velvet ant,2.0
gummy,t,2994,gummy,160,160,Sima Coomer,r,085-159-9315,202104,t,Tsetse fly,5.0
dishonest,i,2398,dishonest,158,158,Willie Wiegand,t,086-432-8382,202108,i,insect,3.0
zanily,k,2253,zanily,67,67,Li Birdwell,g,077-249-1815,202005,k,Katydid,3.0
albin,h,1657,albin,316,316,Young Bueno,f,084-600-8108,197001,h,humbug,0.0
thoroughpin,a,1243,thoroughpin,187,187,Adolfo Webb,i,085-443-4832,202101,a,ant,1.0
inceptively,t,1231,inceptively,101,101,Sharyn Troy,d,074-190-5827,202103,t,Tsetse fly,5.0
underlaying,y,2090,underlaying,41,41,Carmelo Wallner,x,078-519-5851,202006,y,Yellow jacket,16.0
lapactic,k,2394,lapactic,116,116,Clemmie Dunphy,c,079-683-5944,202101,k,Katydid,3.0
tadema,e,2098,tadema,5,5,Reyes Davies,w,077-283-5044,202106,e,Elephant hawk moth,2.0
palmy,u,1718,palmy,18,18,Jacalyn Weick,w,082-676-8601,202008,u,Underwing,6.0
formate,i,2926,formate,103,103,Zelda Bridgett,r,085-887-8677,201906,i,insect,3.0
precited,f,2284,precited,241,241,Pauletta Lazo,n,082-454-6754,202103,f,flea,3.0
needy,v,1463,needy,181,181,Jacalyn Goers,g,082-547-5696,202002,v,Velvet ant,2.0
unindicated,t,2744,unindicated,221,221,Thi Mennenga,y,083-798-1764,202012,t,Tsetse fly,5.0
uruguay,r,2580,uruguay,252,252,Carman Lalli,e,080-363-4097,202109,r,Rhinoceros beetle,35.0
predetection,p,980,predetection,275,275,Raguel Burdge,b,079-392-3974,202110,p,Praying mantis,8.0
proelectrification,q,1182,proelectrification,275,275,Raguel Burdge,b,079-392-3974,202110,q,Queen bee,11.0
tawie,f,1444,tawie,120,120,Eddy Wire,k,083-815-6813,202003,f,flea,3.0
replevisable,s,1349,replevisable,109,109,Nieves Schorn,w,080-803-1422,201904,s,Stick insect,9.0
vibration,i,1980,vibration,54,54,Joel Liner,k,081-530-7557,202111,i,insect,3.0
sheefishes,k,2193,sheefishes,239,239,Gertrudis Evan,l,084-243-4527,202004,k,Katydid,3.0
nonprudence,i,1892,nonprudence,161,161,Allen Murillo,o,085-414-1537,202104,i,insect,3.0
unnavigableness,f,1341,unnavigableness,311,311,Jeanie Wentzell,d,079-537-7965,201906,f,flea,3.0
depersonalization,r,1060,depersonalization,91,91,Lavina Vos,z,077-981-2916,202110,r,Rhinoceros beetle,35.0
overneglectful,o,1091,overneglectful,186,186,Beryl Delossantos,b,078-560-7872,202008,o,Orange Sulfur Butterfly,13.0
dukhobortsy,o,999,dukhobortsy,194,194,Denna Buttrey,d,075-258-1757,202108,o,Orange Sulfur Butterfly,13.0
unblent,g,2774,unblent,319,319,Sharee Chauez,i,086-242-1859,202109,g,Grasshopper,50.0
prism,v,1528,prism,290,290,Jetta Konecny,b,076-336-1377,201901,v,Velvet ant,2.0
auric,t,1592,auric,192,192,Adena Monteiro,c,087-132-2188,202001,t,Tsetse fly,5.0
lyubertsy,y,2489,lyubertsy,122,122,Emmett Gebhard,f,081-153-9951,202011,y,Yellow jacket,16.0
unretaining,f,1281,unretaining,143,143,Elisha Sandidge,b,081-781-5555,202011,f,flea,3.0
uncorrect,w,2322,uncorrect,179,179,Trinity Roda,o,079-428-4550,201900,w,Wasp,15.0
sinecurist,r,2067,sinecurist,321,321,Kathleen Leff,g,085-916-9461,202108,r,Rhinoceros beetle,35.0
untenability,z,1208,untenability,277,277,Natisha Blythe,y,083-470-1500,197001,z,Zorapteran,5.0
unpasteurized,y,2671,unpasteurized,280,280,Linnie Jaworski,z,083-999-9228,201903,y,Yellow jacket,16.0
howie,h,1512,howie,160,160,Sima Coomer,r,085-159-9315,202104,h,humbug,0.0
flexo,z,1353,flexo,116,116,Clemmie Dunphy,c,079-683-5944,202101,z,Zorapteran,5.0
tobie,p,3025,tobie,217,217,Rodger Yamashita,b,082-801-7304,202100,p,Praying mantis,8.0
assaultable,u,1273,assaultable,285,285,Priscila Kilroy,c,074-992-6162,202002,u,Underwing,6.0
barosinusitis,e,1338,barosinusitis,19,19,Jaymie Helsley,z,075-522-2685,202007,e,Elephant hawk moth,2.0
uninterred,f,2747,uninterred,204,204,Gregg Blanchette,c,074-884-1593,202100,f,flea,3.0
manipulative,e,1866,manipulative,228,228,Jose Swofford,p,080-771-7187,202104,e,Elephant hawk moth,2.0
cabiri,o,1930,cabiri,233,233,Mafalda Kamerer,n,083-899-2493,202011,o,Orange Sulfur Butterfly,13.0
stern,a,1372,stern,94,94,Jeannette Callan,c,072-449-4992,201912,a,ant,1.0
laodamia,r,2044,laodamia,60,60,Eunice Spady,g,076-225-1482,202100,r,Rhinoceros beetle,35.0
nonius,d,2227,nonius,62,62,Nelia Boardman,o,073-849-7376,202000,d,Unknown insect type (imputed),5.0
calcium,e,2234,calcium,5,5,Reyes Davies,w,077-283-5044,202106,e,Elephant hawk moth,2.0
uncompanionable,i,2683,uncompanionable,168,168,Marin Davisson,b,075-193-5830,201904,i,insect,3.0
inoculation,j,1782,inoculation,246,246,Lilla Mccombs,k,074-240-6787,201906,j,Junebug,5.0
nagyvrad,e,2345,nagyvrad,169,169,Mackenzie Elgin,g,078-580-7729,202008,e,Elephant hawk moth,2.0
